predicate,Precision,Recall,F1-Score,Total_Questions
P106,0.3333333333333333,1.0,0.5,6.0
P112,1.0,1.0,1.0,1.0
P1303,1.0,1.0,1.0,1.0
P136,0.8181818181818182,1.0,0.9,11.0
P138,1.0,1.0,1.0,1.0
P140,1.0,1.0,1.0,1.0
P162,1.0,1.0,1.0,1.0
P17,1.0,1.0,1.0,1.0
P175,1.0,1.0,1.0,2.0
P19,1.0,1.0,1.0,9.0
P20,0.8,1.0,0.888888888888889,5.0
P21,0.6666666666666666,1.0,0.8,6.0
P264,0.5,1.0,0.6666666666666666,2.0
P27,1.0,1.0,1.0,8.0
P31,0.75,1.0,0.8571428571428571,4.0
P364,1.0,1.0,1.0,2.0
P40,1.0,1.0,1.0,1.0
P403,0.0,0.0,0.0,1.0
P413,0.6666666666666666,1.0,0.8,6.0
P495,0.6,1.0,0.7499999999999999,5.0
P50,1.0,1.0,1.0,2.0
P509,0.5,1.0,0.6666666666666666,2.0
P57,0.5,1.0,0.6666666666666666,2.0
P58,1.0,1.0,1.0,1.0
P641,1.0,1.0,1.0,1.0
P65,1.0,1.0,1.0,1.0
P86,1.0,1.0,1.0,1.0
Q1046707,0.0,0.0,0.0,1.0
Q1344,0.0,0.0,0.0,1.0
Q1487770,0.0,0.0,0.0,1.0
Q15505371,0.0,0.0,0.0,1.0
Q16400,1.0,1.0,1.0,1.0
Q1650296,0.0,0.0,0.0,1.0
Q2568216,1.0,1.0,1.0,1.0
Q2670550,1.0,1.0,1.0,1.0
Q284261,0.0,0.0,0.0,1.0
Q33977,0.0,0.0,0.0,1.0
Q362,0.0,0.0,0.0,1.0
Q40949,0.0,0.0,0.0,1.0
Q43,0.0,0.0,0.0,1.0
Q488205,0.0,0.0,0.0,1.0
Q512858,0.0,0.0,0.0,1.0
Q7614277,1.0,1.0,1.0,1.0
